subj_idx,response,rt
1,1,2.3016
1,1,0.61743
1,1,3.2154
1,1,0.6313
1,0,4.1095
1,0,5.6505
1,1,3.6931
1,0,6.255
1,1,7.919
1,1,3.8043
1,0,6.7073
1,1,2.9648
1,1,3.7122
1,0,0.91053
1,1,3.978
1,1,3.7657
1,1,3.2092
1,0,3.1847
1,1,4.4152
1,0,2.6536
1,0,2.5492
1,1,0.71665
1,1,3.1619
1,1,1.8571
1,0,7.3504
1,0,3.1944
1,0,3.4008
1,1,5.6244
1,1,2.9981
1,1,1.0629
1,0,3.5077
1,0,2.5873
1,0,2.8531
1,0,2.6304
1,0,3.917
1,0,3.5296
1,0,3.0791
1,1,5.2922
1,0,1.243
1,0,3.4383
1,1,2.2426
1,1,2.4102
1,0,2.8594
1,1,6.3556
1,0,4.2579
1,0,1.1186
1,0,6.5147
1,1,2.4986
1,1,5.3663
1,1,3.5178
1,1,2.7652
1,0,2.3863
1,0,1.3076
1,1,2.919
1,0,2.2853
1,1,1.2928
1,0,5.0519
1,0,1.3974
1,1,2.2575
1,0,3.9153
1,0,2.0368
1,1,2.7954
1,1,2.8263
1,1,1.9007
1,1,1.6809
1,0,1.7852
1,1,4.2126
1,1,2.5367
1,0,2.657
1,1,0.25283
1,0,2.4832
1,0,3.3473
1,1,5.1699
1,0,1.8473
1,0,5.6885
1,1,4.2724
1,0,2.3859
1,1,2.7108
1,0,0.56621
1,1,3.6878
1,0,0.32281
1,0,1.788
1,1,2.3219
1,1,0.86587
1,1,1.7438
1,0,2.594
1,1,6.2181
1,1,2.3458
1,1,1.8071
1,0,3.5366
1,0,2.1985
1,0,2.9319
1,1,1.0092
1,1,2.713
1,1,1.2187
1,0,5.3551
1,0,2.0205
1,1,6.6987
1,0,2.3312
1,0,1.7029
1,1,0.60502
1,0,3.265
1,1,5.8122
1,1,2.8856
1,1,3.9154
1,1,5.6229
1,0,3.5175
1,1,2.6981
1,1,4.214
1,0,1.9901
1,1,1.8014
1,0,5.5721
1,0,1.9633
1,1,3.2106
1,0,2.2943
1,0,1.3262
1,0,2.3846
1,1,2.3663
1,0,3.1885
1,1,2.7352
2,1,4.7939
2,1,4.7329
2,1,9.2573
2,0,3.7629
2,0,2.6258
2,1,5.1619
2,1,3.5608
2,1,5.4273
2,1,4.6175
2,0,4.1472
2,0,3.7831
2,1,2.3648
2,1,3.2419
2,0,3.3179
2,1,2.618
2,0,4.2104
2,1,1.4751
2,0,1.7453
2,1,2.4388
2,0,1.5315
2,0,2.7567
2,1,4.5503
2,1,4.6774
2,1,2.4852
2,1,2.2931
2,0,1.6668
2,0,1.1424
2,1,2.8304
2,1,1.6292
2,1,0.93149
2,1,2.3964
2,0,1.2802
2,0,2.9783
2,0,4.7991
2,0,1.8982
2,0,3.3541
2,1,2.965
2,1,4.056
2,0,1.4705
2,0,1.7741
2,1,5.4615
2,1,1.5089
2,0,2.3559
2,1,1.7917
2,1,3.8281
2,0,2.8748
2,0,0.89172
2,1,1.8441
2,1,1.0291
2,1,1.357
2,1,1.6559
2,0,1.152
2,0,1.5061
2,1,1.3134
2,0,0.97739
2,1,1.1717
2,0,2.3238
2,0,1.7937
2,1,1.8297
2,1,2.0088
2,0,2.0439
2,1,1.3735
2,1,0.79372
2,1,1.4261
2,1,2.6698
2,0,1.4051
2,1,1.9215
2,1,1.0733
2,0,3.2036
2,1,2.0738
2,0,1.1538
2,0,3.3515
2,1,3.9386
2,0,3.8635
2,0,1.0041
2,1,3.1192
2,0,1.1995
2,1,1.2425
2,1,1.6093
2,1,1.4512
2,1,2.7891
2,1,2.1635
2,1,1.161
2,1,0.8181
2,1,1.1568
2,0,1.3872
2,0,1.9922
2,1,0.86861
2,1,1.0276
2,1,1.0651
2,0,4.506
2,0,1.8805
2,1,0.96969
2,1,1.275
2,1,1.841
2,1,3.8633
2,0,1.1641
2,1,2.7288
2,0,1.5553
2,0,1.9208
2,1,2.5864
2,1,2.8384
2,0,1.0115
2,1,1.7926
2,1,0.78978
2,1,1.522
2,0,2.6297
2,1,1.0472
2,1,2.0462
2,0,0.82879
2,1,2.5224
2,0,2.0153
2,0,1.7832
2,1,2.8927
2,0,2.5969
2,0,2.725
2,0,1.8806
2,1,1.2116
2,0,3.7753
2,1,1.2623
3,1,5.8263
3,1,6.2227
3,1,9.509
3,1,2.2834
3,0,2.0841
3,0,2.6335
3,0,2.6807
3,0,1.6166
3,1,3.3325
3,1,3.9346
3,0,4.0532
3,1,1.5746
3,1,0.97458
3,0,2.6835
3,0,2.2331
3,1,1.6743
3,1,1.4861
3,1,1.5411
3,1,3.5982
3,0,1.9362
3,0,1.586
3,1,1.5808
3,1,1.3
3,0,1.8433
3,1,0.86289
3,0,1.6825
3,0,6.2987
3,1,1.1731
3,1,2.9922
3,1,3.2477
3,0,2.2056
3,0,1.4217
3,1,1.6492
3,0,1.9332
3,0,4.7889
3,1,2.3444
3,1,1.1872
3,1,1.4745
3,0,1.8239
3,0,3.3812
3,0,3.4123
3,1,1.6317
3,0,12.5519
3,0,1.5137
3,0,1.1099
3,0,1.8682
3,0,1.0877
3,1,2.0067
3,1,1.1009
3,0,1.469
3,0,2.9463
3,0,1.8391
3,0,0.72813
3,1,0.67024
3,0,0.87808
3,1,0.92619
3,0,1.5071
3,0,0.81696
3,1,1.0708
3,1,5.6435
3,1,1.3155
3,1,1.7449
3,1,1.0936
3,1,1.2182
3,1,3.7936
3,0,1.7666
3,1,1.9528
3,0,2.8176
3,0,1.9944
3,1,4.9695
3,0,1.2195
3,0,1.1822
3,1,0.89531
3,0,1.69
3,0,2.1955
3,0,1.358
3,0,1.3513
3,1,1.6067
3,0,1.4889
3,1,1.0394
3,1,1.2574
3,1,2.3959
3,1,1.231
3,1,1.69
3,1,0.89646
3,0,2.0844
3,1,5.7005
3,1,2.6545
3,1,1.8987
3,0,4.1339
3,1,1.3282
3,0,1.1244
3,1,0.93791
3,1,4.8779
3,1,2.0215
3,0,5.5953
3,0,1.3692
3,0,1.3385
3,0,5.1908
3,0,8.5221
3,0,1.2193
3,1,1.8711
3,0,2.5679
3,0,1.9935
3,1,0.8463
3,1,2.3745
3,1,1.249
3,0,6.9076
3,1,1.6281
3,0,1.7473
3,1,0.88682
3,0,1.1456
3,0,0.81136
3,0,1.4223
3,0,4.8001
3,0,1.951
3,0,1.0689
3,1,2.4391
3,0,1.1361
3,0,1.9742
4,1,1.9272
4,1,1.4535
4,1,2.4759
4,1,4.4399
4,0,2.246
4,0,2.456
4,1,17.3254
4,0,1.3368
4,1,1.1987
4,0,1.6818
