subj_idx,a,v,t
1,3.438575361,0.053657827,0.153713406
2,2.579711293,0.059901725,0.578887405
3,2.452858986,0.052358655,0.54154609
4,2.347358872,0.059626253,0.155007158
5,2.967819611,0.055786951,0.50263059
6,1.756103946,0.058067039,0.236568147
7,1.088429199,0.064342106,0.208654258
8,2.873094645,0.057263095,0.013239665
9,1.299792879,0.058370135,0.013179964
10,2.621044118,0.058841472,0.067347581
11,1.721378214,0.056745441,0.67701035
12,1.153138695,0.05679807,0.179540443
13,2.14528189,0.057141144,0.180126143
14,2.330991043,0.057427933,0.006400493
15,3.129349419,0.058477946,0.098360481
16,2.133307698,0.05817525,0.01479311
17,1.21413824,0.058687252,0.072394222
18,2.84256062,0.054877855,0.060926872
19,2.329751956,0.060177114,0.295594387
20,3.17785858,0.05443629,0.345411776
21,2.952181853,0.059436175,0.022341508
22,1.904320114,0.063352286,0.073836505
23,2.788148518,0.056839474,1.132562561
24,2.062123945,0.054322854,0.48418121
25,1.971432184,0.058720331,0.002093217
26,2.271481981,0.053850136,0.264513135
27,1.313840991,0.05883833,0.002288983
28,2.249445767,0.056055321,0.001349551
29,2.768629092,0.054222096,0.023837066
30,1.919726681,0.055948966,0.16653387
31,1.950922272,0.056883786,0.05092408
32,2.123397089,0.059802314,0.002081411
33,1.140598928,0.056491086,0.23104563
34,1.548520309,0.05431866,0.001091137
35,3.429321338,0.052303207,0.469093175
36,1.942598765,0.05305725,0.149164489
37,2.842224992,0.055887793,0.013798561
38,1.746987822,0.055134837,0.111827493
39,2.571566239,0.057665389,0.004588146
40,2.947187302,0.054598604,1.037051989
41,2.458689988,0.056668146,0.001270815
42,2.023197654,0.057824834,0.027687011
43,1.426198048,0.05557745,0.201202083
44,2.268940286,0.055197235,0.212803154
45,2.210055414,0.058034963,0.020276339
46,2.655777941,0.057449981,0.276865899
47,1.488853523,0.066264031,0.158136877
48,1.717936196,0.053390404,0.126016135
49,2.382426658,0.049956311,0.003720244
50,2.76188494,0.057516754,0.076062405
51,2.828096678,0.052917678,0.172461219
52,2.847854503,0.058955101,0.702330242
53,2.822391929,0.056832491,0.217796535
54,2.014049782,0.058294844,0.00404117
55,2.738309432,0.057295826,1.211835222
56,2.961069303,0.04937339,0.143034558
57,1.92594391,0.060258943,0.214684334
58,1.920781919,0.052629971,0.002575498
59,1.988342989,0.057561698,0.009853317
60,1.064672272,0.056405766,0.309641375
61,2.54003546,0.055084632,0.008814883
62,3.051835282,0.056116789,0.003134275
63,2.764538184,0.056674649,0.020252381
64,1.774405434,0.059093363,0.002516674
65,2.035332152,0.058199902,0.122586269
66,1.971528341,0.059253394,0.062620128
67,2.210955504,0.057302164,0.02125967
68,2.094399577,0.05544053,0.060869743
69,2.192930866,0.056597994,0.013334198
70,1.294873433,0.053479436,0.178994075
71,3.236978892,0.051972907,0.015940584
72,2.265123626,0.053636386,0.005267453
73,2.245865543,0.058596062,0.015006661
74,2.891008064,0.053691344,0.016278669
75,1.870531613,0.055073655,0.016434884
76,2.622494547,0.057069922,0.004344971
77,2.282103584,0.05630176,0.013007833
78,2.381188534,0.056365522,0.003250838
79,1.341864373,0.05618103,0.000373362
80,2.183088499,0.056800684,0.31350727
81,2.378227506,0.056729074,0.02583914
82,2.325542179,0.053054018,0.055887927
83,3.444663857,0.053501615,0.051546916
84,3.021294112,0.057722832,0.030980958
85,2.58159032,0.053743412,0.095374973
86,1.841942177,0.058292754,0.033708133
87,1.841965299,0.058065698,0.002796739
