subj_idx,a,v,t
1,3.596066005,0.019525402,9.17E-07
2,2.669329646,0.12569632,0.573918428
3,2.736696709,-0.02425346,0.489509729
4,2.829855601,0.068683659,0.054071746
5,3.002566984,0.011459972,0.501159212
6,1.821103534,0.106922244,0.233153805
7,1.303119978,0.841293578,0.102865991
8,3.031248804,0.062686168,9.43E-08
9,1.220969027,0.137747937,0.070500265
10,2.651423048,0.11571438,0.07998725
11,2.659895451,0.006842367,0.045799472
12,1.262003381,0.172388347,0.116149938
13,2.315432043,0.029124274,0.124619457
14,2.393801243,0.040827673,1.59E-08
15,3.3215675,0.070400001,0.093108049
16,2.18918055,0.074567685,0.014559121
17,1.207920715,0.258506355,0.075415427
18,3.327278108,0.032831159,1.28E-09
19,2.42445897,0.098600207,0.288998519
20,3.299604616,-6.58E-09,0.341341596
21,3.166957833,0.074424194,6.04E-08
22,2.088115584,0.240495254,0.026701175
23,3.24822915,0.053176048,0.901410459
24,2.406328058,-0.040775441,0.422370324
25,2.116197881,0.11021044,6.06E-10
26,2.492179766,-0.026585241,0.223397396
27,1.213712641,0.216881102,0.081313071
28,2.528746007,0.052066022,1.04E-08
29,2.805332757,-0.006048203,0.030601923
30,1.933585165,0.069613056,0.168615633
31,2.069502211,0.031183402,0.042858504
32,2.266952269,0.113452994,5.15E-09
33,1.466306771,-0.024091455,0.137679021
34,1.674136225,-0.071574296,0.017441753
35,3.931811444,0.004439781,2.15E-07
36,2.021430538,-0.065759568,0.144836597
37,3.295584957,0.027600177,6.20E-09
38,2.5242268,0.017149246,3.38E-10
39,2.715431031,0.066509882,5.51E-07
40,3.8321272,0.004452951,5.55E-08
41,3.233898155,0.036220685,1.40E-10
42,2.283051772,0.069013138,2.42E-08
43,1.861416534,0.034078373,0.135768211
44,2.344790537,0.014285799,0.211151914
45,2.197569159,0.069034814,0.051615103
46,2.83317959,0.046925205,0.25131711
47,1.528908225,0.534543823,0.158920845
48,1.933729563,-0.085069453,0.09463878
49,2.901065703,-0.057581893,8.44E-09
50,3.241814889,0.061822953,0.001407927
51,2.836740714,-0.011992963,0.187684859
52,3.46949713,0.061167512,0.082763229
53,2.910655099,0.02383575,0.133649504
54,2.172162546,0.099114674,1.69E-08
55,3.955739999,0.036733819,6.39E-09
56,3.399079122,-0.043615579,0.063767416
57,2.035801111,0.140638573,0.202945686
58,2.056275715,-0.084513346,3.23E-08
59,2.085271838,0.059694497,1.96E-08
60,1.275656208,1.49E-08,0.210156968
61,2.889449919,0.051434637,3.01E-10
62,3.638249584,0.043630617,1.02E-08
63,3.027308414,0.041212097,9.24E-08
64,1.997195881,0.136835606,0.00034846
65,2.205633741,0.087326618,0.098402716
66,2.210289057,0.130623153,0.029983765
67,2.232941243,0.066738392,0.032092641
68,2.114174421,0.015420792,0.076705044
69,2.419313173,0.060206023,4.11E-08
70,1.306041756,-0.181739213,0.179362431
71,3.618211849,-0.022144445,1.31E-08
72,2.578267883,-0.044019581,1.59E-06
73,2.318680138,0.08705416,9.52E-05
74,2.994974267,0.01106483,1.49E-06
75,2.166165885,0.007088897,6.57E-09
76,2.752279613,0.049250973,1.69E-08
77,2.397701397,0.027200249,3.16E-08
78,2.616658083,0.038578954,1.93E-06
79,1.857095122,0.033147497,3.43E-09
80,2.230127792,0.014877425,0.310711851
81,2.577197626,0.061185677,4.92E-08
82,2.539839537,-0.026145995,8.20E-08
83,3.920468916,0.008470405,4.99E-08
84,3.618240788,0.054790102,5.64E-08
85,2.624319627,-0.037165275,0.093794721
86,1.928728492,0.102624534,0.033739077
87,2.086332843,0.099482381,1.67E-08
